asin,title,imgUrl,productURL,stars,reviews,price,listPrice,categoryName,isBestSeller,boughtInLastMonth
B0BY4BDK7Y,"KEMEXC Toilet Seat with Toddler Seat Built in, Slow-Close, Quick-Release Hinges, Easy to Clean, 6 Anti-Slip Devices Never Loosen, Potty Training Toilet Seat, Toddler Toilet Seat, White Round 16.5""",https://m.media-amazon.com/images/I/41Xr+2hO7lL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0BY4BDK7Y,4.6,61,66.86,0,Industrial  Scientific,FALSE,0
B088M3JCP2,"Heat Insulation Silicone Repair Mat with Scale Ruler and Screw Position for Soldering Iron, Phone and Computer Repair Size:17.9 x 11.8 Inches",https://m.media-amazon.com/images/I/61nzkHmJSZL._AC_UL320_.jpg,https://www.amazon.ca/dp/B088M3JCP2,4.7,142,21.99,25.99,Industrial  Scientific,FALSE,50
B01MFER4XH,MulWark 6pc Premium Grade Magnetic Mini Flathead and Phillips General Micro Precision Head Small Screwdriver Set CRV Eyeglasses Jewelry Watches Electronics Computer Tools Repair Kit,https://m.media-amazon.com/images/I/71DIo2oKxWL._AC_UL320_.jpg,https://www.amazon.ca/dp/B01MFER4XH,4.5,3057,20.99,0,Industrial  Scientific,FALSE,100
B07QGSMK9Q,DS.DISTINCTIVE STYLE Mini 3-in-1 Precision Screwdriver Keychain Eyeglasses Repair Kit with Keyring (1),https://m.media-amazon.com/images/I/41aqPBlgYWL._AC_UL320_.jpg,https://www.amazon.ca/dp/B07QGSMK9Q,4,307,7.49,0,Industrial  Scientific,FALSE,0
B09WDMGGBZ,"Fasgear USB 4 Cable: 6-inch Thunderbolt 4/3 Cable 100W Charging 40Gbps Data Transfer Compatible for Mac-Book Pro i-Pad Pro 2021 Mac Mini M1 External SSD Hub Docking Monitor Egpu 15cm (15cm, Black)",https://m.media-amazon.com/images/I/61cpHj0RwuL._AC_UL320_.jpg,https://www.amazon.ca/dp/B09WDMGGBZ,4.5,95,19.99,0,Industrial  Scientific,FALSE,0
B09V2S48VB,"Wisesorb 6LBS Silica Gel Flower Drying Crystals, Color Indicating Flower Drying Silica, Reusable Silica Gel for Drying Flowers",https://m.media-amazon.com/images/I/71N8BJO1KdL._AC_UL320_.jpg,https://www.amazon.ca/dp/B09V2S48VB,4.1,44,46.89,0,Industrial  Scientific,FALSE,0
B071GV16R2,"ResMed Nasal Pillow for AirFit P10 - Features Dual-Wall Technology - Single Pair, X-Small",https://m.media-amazon.com/images/I/61hcl+2gGlL._AC_UL320_.jpg,https://www.amazon.ca/dp/B071GV16R2,4.8,35,26.4,0,Industrial  Scientific,FALSE,50
B07H54NZ34,"Command Picture Hanging Strips Variety Pack, Damage Free Hanging Picture Hangers, No Tools Wall Hanging Strips for Living Spaces, White, 10 Small Pairs and 8 Medium Pairs (36 Strips)",https://m.media-amazon.com/images/I/71r21VPxeEL._AC_UL320_.jpg,https://www.amazon.ca/dp/B07H54NZ34,4.5,21336,13.2,0,Industrial  Scientific,FALSE,0
B0917V1JJP,"Amazon Basics Foam Wrap Roll with 20 Fragile Stickers, 12 inches wide , 50 feet long, 1 Roll",https://m.media-amazon.com/images/I/51f38w8H5DL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0917V1JJP,4.3,373,19.68,0,Industrial  Scientific,FALSE,50
B0C5C6NT2R,"Vastar 42 in 1 Precision Screwdriver Set, Electronics Tool Kit with T5 T6 T7 T8 T9, Triwing Y00, Star P5 etc, Mini Repair Kit for Computer, Phone, PS5, Switch, Xbox, Laptop, Tablet, Controller, Watch",https://m.media-amazon.com/images/I/714Z+IiA2KL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0C5C6NT2R,4.4,68,15.99,0,Industrial  Scientific,FALSE,0
